#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:true_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true_alignment" name="distribution" x="@birthRate.t:true_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment" id="treeLikelihood.true_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment">
#            <siteModel id="SiteModel.s:true_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-38167.9810559464	-38164.382937563576	-3.5981183828279386	-38164.382937563576	1.126959926603301	-3.5981183828279386	1.0
1000	-31503.000775909615	-31498.550486800366	-4.450289109250613	-31498.550486800366	1.0059533563500003	-4.450289109250613	1.3063001821447875
2000	-31503.05246165482	-31498.311201915516	-4.741259739306468	-31498.311201915516	1.0148579480100646	-4.741259739306468	1.6199822270268058
3000	-31504.721010155215	-31498.89229556781	-5.828714587404452	-31498.89229556781	1.0265597355213572	-5.828714587404452	2.150157860068987
4000	-31502.568224563627	-31498.12424568025	-4.443978883375473	-31498.12424568025	0.984142527622344	-4.443978883375473	0.9089663858023703
5000	-31503.71478557062	-31499.209798697382	-4.504986873239628	-31499.209798697382	1.0164639523123002	-4.504986873239628	0.9665317611808187
6000	-31504.09328064758	-31498.010444323412	-6.082836324167387	-31498.010444323412	1.0263462847000118	-6.082836324167387	2.2592428010786345
7000	-31506.442122588356	-31501.033371702506	-5.408750885850071	-31501.033371702506	1.0271465061327667	-5.408750885850071	1.9414395051157052
8000	-31502.689576246117	-31498.388950633464	-4.300625612654729	-31498.388950633464	0.9902587746395873	-4.300625612654729	1.285617839356264
9000	-31503.853683479298	-31499.42014720797	-4.433536271328652	-31499.42014720797	0.9963571293292319	-4.433536271328652	1.357956108369373
10000	-31504.046137567053	-31498.114559173595	-5.931578393459101	-31498.114559173595	0.9899131592949483	-5.931578393459101	2.3382675813812717
11000	-31506.885417273428	-31500.692939716595	-6.192477556831719	-31500.692939716595	1.0407893302810014	-6.192477556831719	2.3390515516649764
12000	-31504.9395945898	-31500.401117844	-4.538476745797409	-31500.401117844	0.9997541227064777	-4.538476745797409	0.853157062458043
13000	-31501.667664472	-31497.18799251434	-4.479671957660617	-31497.18799251434	0.9978383172471001	-4.479671957660617	1.4261439240351157
14000	-31504.36000592126	-31499.675860546322	-4.684145374938395	-31499.675860546322	1.0184333487648765	-4.684145374938395	1.5601846544466904
15000	-31503.544352135134	-31499.253427411084	-4.290924724049985	-31499.253427411084	0.9695900290467292	-4.290924724049985	1.2829002265674756
16000	-31503.95441095452	-31499.578268235404	-4.376142719116229	-31499.578268235404	0.9985654979891542	-4.376142719116229	1.2947165218680279
17000	-31503.87612417535	-31498.97127395171	-4.9048502236407465	-31498.97127395171	1.0039511740070408	-4.9048502236407465	1.7467218589422981
18000	-31505.050899940386	-31499.889655719908	-5.161244220477843	-31499.889655719908	0.9796963181054156	-5.161244220477843	0.5974635663483199
19000	-31502.077091545067	-31497.795645119608	-4.281446425457123	-31497.795645119608	0.9909177116990842	-4.281446425457123	1.1739176663456654
20000	-31504.61452373495	-31500.15427703768	-4.460246697268778	-31500.15427703768	1.0132756611929812	-4.460246697268778	0.944545905058324
21000	-31504.485884120593	-31499.970754175425	-4.515129945168258	-31499.970754175425	1.0214071346698201	-4.515129945168258	1.4831018202090598
22000	-31509.623413160312	-31503.269773557382	-6.35363960293007	-31503.269773557382	0.9843645015743742	-6.35363960293007	2.597134711891809
23000	-31507.996291000072	-31501.91200633242	-6.084284667651517	-31501.91200633242	1.076725762228924	-6.084284667651517	2.19817703877314
24000	-31503.183566658296	-31498.1494939097	-5.03407274859704	-31498.1494939097	1.0178702612386115	-5.03407274859704	1.7892820902990665
25000	-31504.167101833402	-31499.655933991056	-4.511167842343731	-31499.655933991056	1.0237505686802537	-4.511167842343731	0.8675004795689186
26000	-31502.213027401798	-31497.7455555663	-4.4674718354989835	-31497.7455555663	0.9927932023808261	-4.4674718354989835	1.4070064461573977
