"","x"
"1",0.0127268237917266
"2",0.0205535922509631
"3",0.0146412795136202
"4",0.00917265207447804
"5",0.0162548611747986
"6",0.00839674794317744
"7",0.0229535804008218
"8",0.00897130579205777
"9",0.0076586766744338
"10",0.00503390386014979
"11",0.00935421011965212
"12",0.00527826569589214
"13",0.0137002622668989
"14",0.0190830324639993
"15",0.0397605302862702
"16",0.0108335280898954
"17",0.00547437300136035
"18",0.00604169250569175
"19",0.0125061615415213
"20",0.00962431890393436
"21",0.0211772316030412
"22",0.0328524024662009
"23",0.0224804610947107
"24",0.00744732477448079
"25",0.0175541812000767
"26",0.02708587168458
"27",0.0106562484926565
"28",0.00478882572685618
"29",0.00434700561750356
"30",0.0049251379646178
"31",0.00609100634146002
"32",0.00440772556388419
"33",0.0042173429261444
"34",0.00705160954589616
"35",0.0105791716353921
"36",0.0131652931363179
"37",0.0182275080772844
"38",0.012479344477838
"39",0.00977156557846509
"40",0.00682270961220684
"41",0.00575787752410582
"42",0.00745900743327521
"43",0.0163923258123795
"44",0.00719092495601529
"45",0.0149261412248545
"46",0.0184041202479398
"47",0.0121517615501606
"48",0.00970447588603305
"49",0.0131842248227852
"50",0.00728193463117283
"51",0.0339705713303663
"52",0.00722865851703308
"53",0.0183709196224584
"54",0.00910305623538367
"55",0.0127204222368382
"56",0.0235915832524822
"57",0.0214774724418639
"58",0.00641954173964878
"59",0.00750924743293535
"60",0.0239593405952757
"61",0.0218103805347321
"62",0.0168345481085282
"63",0.0208460023884567
"64",0.0135408548294874
"65",0.00841059950229854
"66",0.004295991990906
"67",0.00679155301249801
"68",0.0176633084546019
"69",0.0123783175253523
"70",0.0122725968574376
"71",0.0181292193026541
"72",0.0210459678909857
"73",0.00612024541409469
"74",0.00173896114020879
"75",0.0227252197506085
"76",0.00973923979002219
"77",0.011799421430017
"78",0.0145710629400445
"79",0.0183291204844086
"80",0.02442474954834
"81",0.00676048778529951
"82",0.0111445887249992
"83",0.0289529159518777
"84",0.018101372121812
"85",0.0330244776511918
"86",0.019883748956905
"87",0.00824108583123542
"88",0.0206633211444521
"89",0.00888094156117497
"90",0.00969706003226789
"91",0.00793738332328162
"92",0.0257317515639757
"93",0.0167611166453569
"94",0.00978453423915939
"95",0.0141493796521482
"96",0.00818660367685635
"97",0.0173688851275834
"98",0.0235704871516381
"99",0.0203376293106797
"100",0.0198278018815931
"101",0.00774250026037589
"102",0.0171161558415778
"103",0.0129640971411239
"104",0.00941270671805648
"105",0.00938759721374198
"106",0.0266193668769758
"107",0.0107780482171712
"108",0.00729825607129692
"109",0.0090789203560722
"110",0.0124674179411094
"111",0.00540453760490065
"112",0.0188529468937552
"113",0.0042210519014236
"114",0.0257871718037654
"115",0.0317780994737301
"116",0.0106423595331212
"117",0.0305348106282427
"118",0.00647163327700832
"119",0.0114110222026612
"120",0.00637756075537811
"121",0.00972947799133069
"122",0.0435650333314065
"123",0.00842724277595536
"124",0.0139599810794704
"125",0.00832007337022691
"126",0.0111004139065132
"127",0.0124463505371755
"128",0.0182776861302561
"129",0.0212187238906092
"130",0.00666045968801364
"131",0.00735316322107001
"132",0.0196147618500657
"133",0.0221577948513196
"134",0.0319204761866022
"135",0.00820198306401317
"136",0.00489211434821472
"137",0.00546905382798801
"138",0.00659517538758433
"139",0.0241425262078496
"140",0.00725369252898028
"141",0.0130164576338118
"142",0.0116438812559268
"143",0.0150282194763117
"144",0.0277231580141638
"145",0.0185905536153694
"146",0.0119281640323994
"147",0.0212673203639362
"148",0.0252933614238059
"149",0.0196084947232183
"150",0.0122618577552527
"151",0.0137702299163699
"152",0.00719028053829522
"153",0.0133930276266861
"154",0.0121270006238772
"155",0.00659025948883644
"156",0.00596358367490391
"157",0.0206517695654705
"158",0.0249000646786554
"159",0.00726490311609288
"160",0.0048379345191276
"161",0.0154157091504841
"162",0.0055308520597652
"163",0.0274696189701582
"164",0.0241983883887034
"165",0.0330009820778908
"166",0.0194491855967421
"167",0.0155421993151626
"168",0.00905279047095851
"169",0.0235071971907971
"170",0.0065053262680406
"171",0.0113634665813803
"172",0.0159170140909806
"173",0.0142961719723202
"174",0.0044588047881571
"175",0.0135908705116672
"176",0.0284621112485571
"177",0.0095152069359144
"178",0.0101111040537702
"179",0.0215354551378278
"180",0.00607368866383893
"181",0.0219183799643122
"182",0.0137147486663142
"183",0.0181261528222186
"184",0.0144719952763132
"185",0.0126044337324971
"186",0.00394818900792585
"187",0.0086472070184662
"188",0.020196129555029
"189",0.0121502562220347
"190",0.00582714223472268
"191",0.0269974115090993
"192",0.0173902150857361
"193",0.0119475720462246
"194",0.0130472134106514
"195",0.00995069798906747
"196",0.00440454063548508
"197",0.0111276065470449
"198",0.00654577915512396
"199",0.00763828154243113
"200",0.012243988632824
"201",0.0112041150962754
"202",0.00523919428954393
"203",0.0113595385826026
"204",0.015401607300106
"205",0.015392523331496
"206",0.00766877112436713
"207",0.00668744055097326
"208",0.0183524749265545
"209",0.0228340853049766
"210",0.00654275908544888
"211",0.00826017411253369
"212",0.0142799963920103
"213",0.00721390892147054
"214",0.0260361312690387
"215",0.0201932573843795
"216",0.0214359134679487
"217",0.0244051724569283
"218",0.0113319699552647
"219",0.0372055151636811
"220",0.00889380559251614
"221",0.0306345852112688
"222",0.00316343417378852
"223",0.00428458079411453
"224",0.00946439763990673
"225",0.0220524573196809
"226",0.0201742146833888
"227",0.0117639309999109
"228",0.0134444210852369
"229",0.0133321612937408
"230",0.00403633361208949
"231",0.00864358342639647
"232",0.0163019175097187
"233",0.010322734843105
"234",0.0160308842925888
"235",0.0150623032357738
"236",0.00706281055648602
"237",0.0143974635564211
"238",0.0102459491957743
"239",0.007872079841587
"240",0.013869599806
"241",0.00416914401985335
"242",0.0278434665109243
"243",0.0121150386214622
"244",0.0131518581913281
"245",0.0155135769196868
"246",0.00648385424363453
"247",0.0150687784061085
"248",0.00560684316930658
"249",0.015260996898161
"250",0.00534636876871233
"251",0.0203404032950821
"252",0.0101074285393788
"253",0.0131605265655091
"254",0.00230510567958751
"255",0.00972446385787414
"256",0.0108533930237912
"257",0.015803505051245
"258",0.00621020091605397
"259",0.0112168685150477
"260",0.00745385514352426
"261",0.0320442330829739
"262",0.0258837128547222
"263",0.0160382936907135
"264",0.0196311635699567
"265",0.00396056004479345
"266",0.01496485461947
"267",0.0099478957359177
"268",0.00811796281618081
"269",0.0216532136505224
"270",0.0341008460560311
"271",0.0112710551145402
"272",0.0204407029175356
"273",0.00947479710064827
"274",0.00956440753087386
"275",0.014289426870921
"276",0.0113942965503063
"277",0.0109862261617673
"278",0.00705776965274776
"279",0.0138846855025297
"280",0.01299464367017
"281",0.00907954483653184
"282",0.00839367808698283
"283",0.0306228234531145
"284",0.00539041954322396
"285",0.0111857309576529
"286",0.0134212917023998
"287",0.0161717084107515
"288",0.0203001361118167
"289",0.00382200008781258
"290",0.0142474077921863
"291",0.0145412593690923
"292",0.0126927773686149
"293",0.00916937139285928
"294",0.0128941222409584
"295",0.00982568084122703
"296",0.00634206363944924
"297",0.00514458131666728
"298",0.00696468005282282
"299",0.00634680289019261
"300",0.010940594210401
"301",0.0127258978103291
"302",0.0148955193645071
"303",0.0288912950851794
"304",0.0176464195518269
"305",0.0157098846665257
"306",0.0104605738928619
"307",0.0080816338056752
"308",0.0136929721042799
"309",0.0113501790399743
"310",0.00977031881978883
"311",0.0159326915963762
"312",0.0155726982703208
"313",0.0214555818958168
"314",0.00595293571656312
"315",0.010100949267683
"316",0.0121838776833831
"317",0.00382579799809091
"318",0.0131243657286521
"319",0.00958020278672746
"320",0.0178898415483328
"321",0.0136693765670748
"322",0.0242490309576257
"323",0.0218967920740456
"324",0.0136923030735492
"325",0.0228902955452744
"326",0.0118496492645363
"327",0.0115956359566314
"328",0.00768563937647634
"329",0.00702287768266953
"330",0.018223945660826
"331",0.0206636027299384
"332",0.00724299059747515
"333",0.0118131676222701
"334",0.00940009405106183
"335",0.0254777222295853
"336",0.00654662128706496
"337",0.0094023773396954
"338",0.00424625306475042
"339",0.0202750485287186
"340",0.00628832132208374
"341",0.0146074826941184
"342",0.016688479737715
"343",0.0209356045362468
"344",0.0334689178894043
"345",0.0171658504151559
"346",0.021906785774637
"347",0.0140707366521385
"348",0.0242603989597623
"349",0.0110121629600784
"350",0.00742688282264089
"351",0.0190748659044437
"352",0.012340366262926
"353",0.0100535604076553
"354",0.00839107423054599
"355",0.00811897942799428
"356",0.00476552837181493
"357",0.0136990148350134
"358",0.00759272050800299
"359",0.0220154189763903
"360",0.0175003573613611
"361",0.0187495314526638
"362",0.0169505191525658
"363",0.0120057396789649
"364",0.0090842097814081
"365",0.00775858084517639
"366",0.00399342572776849
"367",0.0214883989026662
"368",0.0229646205572845
"369",0.00799145148798937
"370",0.00780420597585207
"371",0.0147399709929512
"372",0.0125029213864844
"373",0.00534032723549074
"374",0.00507097673989176
"375",0.00912399556450237
"376",0.00980542114292045
"377",0.00662122245563884
"378",0.011439544342843
"379",0.0106987628288949
"380",0.0119781541380952
"381",0.0117857870081368
"382",0.0234000583496352
"383",0.00580261010580311
"384",0.00753232974917053
"385",0.0159362373581465
"386",0.00497831128499506
"387",0.0230338620486514
"388",0.0196273612554512
"389",0.0198572114899228
"390",0.027839418209478
"391",0.0333819379729332
"392",0.0145209637004665
"393",0.0112765218641754
"394",0.00926417634910539
"395",0.00711349698704605
"396",0.00662388373679088
"397",0.00745842812157031
"398",0.00749795475300339
"399",0.00805558098360161
"400",0.00865288712643602
"401",0.0121149746634666
"402",0.00790049435353017
"403",0.0197637543725011
"404",0.0157119397284686
"405",0.0168198330530455
"406",0.0112222239296564
"407",0.0147388686923334
"408",0.00924036204655027
"409",0.00999914376701387
"410",0.0127885027067934
"411",0.0113069715476172
"412",0.0161466596669505
"413",0.00380656483689884
"414",0.00527578401764659
"415",0.0103349370641324
"416",0.0215033048565805
"417",0.0185021773282944
"418",0.00590280949074371
"419",0.00443441212267626
"420",0.0230004170073401
"421",0.0165893887017026
"422",0.0145240328888424
"423",0.0108758938717197
"424",0.00532754376436617
"425",0.0138891030454935
"426",0.0105032022577714
"427",0.0155959009342708
"428",0.0114155241609178
"429",0.0107253058101506
"430",0.0181305640593678
"431",0.00939372513588323
"432",0.0112444582135446
"433",0.0139041505796125
"434",0.0106204762793942
"435",0.00849181597062413
"436",0.0113727885551415
"437",0.0119391189047885
"438",0.00870202334004026
"439",0.0286422275119811
"440",0.0164754789164724
"441",0.0207156628387855
"442",0.0197121157604839
"443",0.0175057849420516
"444",0.0230133112334678
"445",0.024799946343652
"446",0.00693641743693763
"447",0.0252850172162395
"448",0.0121966838136019
"449",0.00911802371809998
"450",0.00447259550324371
"451",0.0415636127697235
"452",0.0102843027481306
"453",0.00854619911833462
"454",0.00679480124763819
"455",0.0197646755696604
"456",0.00487352796660625
"457",0.011608568978453
"458",0.0098232682352533
"459",0.0125260021059368
"460",0.0101358785370316
"461",0.00818016013460104
"462",0.0111280512784917
"463",0.00779530425156449
"464",0.00903503157179749
"465",0.00210138167108457
"466",0.0113500074188812
"467",0.0142068868917291
"468",0.0292914407788786
"469",0.0114812070083564
"470",0.0295109616929807
"471",0.0228047410054478
"472",0.00662030994201342
"473",0.0150281670330689
"474",0.0103756601808402
"475",0.0258090595527351
"476",0.00914924419784979
"477",0.00738444023552158
"478",0.0218707152607001
"479",0.0055561345483565
"480",0.0055213022945557
"481",0.0131114278684769
"482",0.0137373525591281
"483",0.00758687923716117
"484",0.00989729099150579
"485",0.00486368211977114
"486",0.0129900145428791
"487",0.0256031111606465
"488",0.0193150483006005
"489",0.00331331659935619
"490",0.00464385073203579
"491",0.0159778690721747
"492",0.00668559401624939
"493",0.0206652304448883
"494",0.0223674890740174
"495",0.00897576184037844
"496",0.00599526440020078
"497",0.0211717421819297
"498",0.00811803419428662
"499",0.0232497747832315
"500",0.00489167887265688
"501",0.0112211494260693
"502",0.0117530663834978
"503",0.0151688877636578
"504",0.015905806524331
"505",0.0130112536620451
"506",0.0177613497760773
"507",0.00763887185779797
"508",0.00636710272683303
"509",0.0138338723766093
"510",0.0226818591938442
"511",0.00402195741489438
"512",0.0138477084644969
"513",0.0245103343859994
"514",0.00882097767439857
"515",0.0126128427266983
"516",0.0191447100827037
"517",0.0201164186100732
"518",0.0323730901604353
"519",0.00692903263481622
"520",0.0102012521818006
"521",0.0114295991433972
"522",0.00745256949031286
